name,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,yellow_cards,GW,predicted_goals
Lewis Cook,Bournemouth,2.3,0.14285714285714285,0.09523809523809523,14.904761904761905,0.14285714285714285,24.376190476190477,64.0,0.12428571428571428,0.15285714285714286,0.02857142857142857,1.1857142857142857,104.0,1.0952380952380953,0.047619047619047616,4.604761904761905,18.076190476190476,79.57142857142857,10.523809523809524,0.0,0.0,0.0,0.0,11.0,0.0,20159.333333333332,0.8571428571428571,1.2857142857142858,1.4285714285714286,3.619047619047619,2.5238095238095237,179.42857142857142,2522.4761904761904,2343.0476190476193,50.0,0.19047619047619047,31,0.001
Ethan Nwaneri,Arsenal,1.7428571428571429,0.0,0.047619047619047616,4.0,0.0,3.1809523809523808,12.0,0.019523809523809523,0.03380952380952381,0.014285714285714287,0.0757142857142857,102.85714285714286,0.047619047619047616,0.09523809523809523,1.1095238095238096,4.619047619047619,10.952380952380953,11.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,37580.42857142857,0.09523809523809523,1.3333333333333333,1.5238095238095237,3.2857142857142856,1.0952380952380953,1313.4761904761904,5444.190476190476,4130.714285714285,45.0,0.047619047619047616,31,0.001
Dwight McNeil,Everton,3.13,0.25,0.3,14.95,0.2,27.369999999999997,230.0,0.198,0.24100000000000002,0.0435,0.8835000000000001,102.75,1.05,0.15,5.025,14.37,57.0,9.75,0.0,0.0,0.0,0.0,10.8,0.0,505845.4,0.65,0.85,1.2,8.45,3.25,5763.2,84823.25,79060.05,54.85,0.05,31,0.001
Joe Lumley,Southampton,-0.21428571428571427,0.0,0.0,1.0476190476190477,0.0,0.0,466.0,0.0,0.0,0.0,0.4476190476190475,106.42857142857143,0.3333333333333333,0.0,0.48571428571428565,4.866666666666667,12.857142857142858,10.047619047619047,0.0,0.0,0.0,0.0,11.0,0.6190476190476191,41746.23809523809,0.14285714285714285,1.5714285714285714,1.2857142857142858,0.0,0.38095238095238093,1583.0,3679.2380952380954,2096.2380952380954,40.0,0.0,31,0.001
Dane Scarlett,Spurs,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,107.66666666666667,0.0,0.0,0.0,0.0,0.0,9.904761904761905,0.0,0.0,0.0,0.0,11.0,0.0,9413.333333333334,0.0,1.8095238095238095,1.7619047619047619,0.0,0.0,-709.3333333333334,0.0,709.3333333333334,45.0,0.0,31,0.001
Omari Giraud-Hutchinson,Ipswich,2.1714285714285717,0.047619047619047616,0.19047619047619047,8.857142857142858,0.14285714285714285,12.390476190476189,274.0,0.062380952380952384,0.13714285714285715,0.07476190476190477,1.620952380952381,105.57142857142857,1.3333333333333333,0.09523809523809523,3.4857142857142858,10.361904761904762,77.47619047619048,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,39617.90476190476,0.9047619047619048,1.4285714285714286,1.2857142857142858,12.0,2.5238095238095237,-1493.8095238095239,2861.0,4354.809523809524,52.904761904761905,0.19047619047619047,31,0.001
Callum Hudson-Odoi,Nott'm Forest,2.8190476190476192,0.14285714285714285,0.14285714285714285,13.523809523809524,0.38095238095238093,22.242857142857144,434.0,0.08571428571428572,0.17285714285714285,0.08714285714285715,0.7338095238095238,106.47619047619048,0.6190476190476191,0.09523809523809523,4.6761904761904765,12.466666666666667,70.85714285714286,10.761904761904763,0.0,0.0,0.0,0.0,11.0,0.0,227877.90476190476,0.8095238095238095,1.2380952380952381,1.1428571428571428,12.238095238095237,3.0476190476190474,-10200.190476190477,16612.619047619046,26812.809523809523,53.857142857142854,0.047619047619047616,31,0.001
Armel Bella-Kotchap,Southampton,-0.6428571428571429,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,106.42857142857143,0.0,0.0,0.0,0.0,0.0,10.047619047619047,0.0,0.0,0.0,0.0,11.0,0.0,44457.09523809524,0.0,1.5714285714285714,1.2857142857142858,0.0,0.0,384.8095238095238,2575.3809523809523,2190.5714285714284,39.333333333333336,0.0,31,0.001
Rodrigo Martins Gomes,Wolves,1.0047619047619047,0.0,0.0,5.333333333333333,0.047619047619047616,5.557142857142857,563.0,0.029047619047619048,0.04666666666666667,0.017619047619047618,0.5657142857142857,107.80952380952381,0.7142857142857143,0.047619047619047616,1.4142857142857144,5.371428571428571,24.952380952380953,10.523809523809524,0.0,0.0,0.0,0.0,11.0,0.0,9135.809523809523,0.2857142857142857,1.9047619047619047,1.8571428571428572,3.3333333333333335,1.1904761904761905,-460.3333333333333,264.8095238095238,725.1428571428571,52.76190476190476,0.0,31,0.001
Lamare Bogarde,Aston Villa,0.0380952380952381,0.0,0.0,0.2857142857142857,0.0,0.8476190476190476,598.0,0.005238095238095238,0.005238095238095238,0.0,0.10142857142857142,103.38095238095238,0.23809523809523808,0.0,0.24285714285714288,1.5142857142857142,10.142857142857142,10.80952380952381,0.0,0.0,0.0,0.0,11.0,0.0,31636.380952380954,0.14285714285714285,1.1904761904761905,1.8095238095238095,0.09523809523809523,0.09523809523809523,370.95238095238096,2547.190476190476,2176.2380952380954,40.0,0.047619047619047616,31,0.001
Noussair Mazraoui,Man Utd,2.4,0.047619047619047616,0.19047619047619047,11.571428571428571,0.19047619047619047,7.957142857142857,594.0,0.05238095238095238,0.07333333333333333,0.02095238095238095,1.3566666666666667,105.95238095238095,1.1428571428571428,0.0,2.857142857142857,17.228571428571428,76.19047619047619,10.714285714285714,0.0,0.0,0.0,0.0,11.0,0.0,1481388.5238095238,0.9047619047619048,1.2857142857142858,1.3333333333333333,3.4285714285714284,2.4761904761904763,33442.142857142855,137534.61904761905,104092.47619047618,45.666666666666664,0.047619047619047616,31,0.001
Cameron Archer,Southampton,1.1571428571428573,0.0,0.19047619047619047,4.857142857142857,0.047619047619047616,2.0428571428571427,27.0,0.018095238095238095,0.22666666666666666,0.20857142857142857,1.2719047619047619,106.42857142857143,1.0,0.09523809523809523,1.9,4.409523809523809,45.19047619047619,10.047619047619047,0.0,0.047619047619047616,0.0,0.0,11.0,0.0,209315.66666666666,0.42857142857142855,1.5714285714285714,1.2857142857142858,12.571428571428571,1.8095238095238095,1622.4761904761904,24251.619047619046,22635.904761904763,50.0,0.0,31,0.001
Ezri Konsa Ngoyo,Aston Villa,1.7190476190476192,0.0,0.23809523809523808,10.095238095238095,0.09523809523809523,3.761904761904762,44.0,0.01904761904761905,0.04714285714285714,0.028095238095238093,1.071904761904762,103.38095238095238,1.380952380952381,0.047619047619047616,2.1714285714285717,14.2,77.66666666666667,10.80952380952381,0.0,0.0,0.0,0.0,11.0,0.0,1066421.2857142857,0.9047619047619048,1.1904761904761905,1.8095238095238095,3.761904761904762,2.1904761904761907,-25782.14285714286,45816.0,71598.14285714286,44.523809523809526,0.0,31,0.001
Pedro Porro,Spurs,3.838095238095238,0.19047619047619047,0.14285714285714285,14.047619047619047,0.19047619047619047,25.366666666666667,495.0,0.11333333333333333,0.1757142857142857,0.062380952380952384,1.5047619047619047,107.66666666666667,1.4285714285714286,0.09523809523809523,5.6380952380952385,23.723809523809525,81.71428571428571,9.904761904761905,0.0,0.0,0.0,0.0,11.0,0.0,3115264.523809524,0.8571428571428571,1.8095238095238095,1.7619047619047619,7.238095238095238,3.3333333333333335,-49895.80952380953,117523.85714285714,167419.66666666666,55.285714285714285,0.09523809523809523,31,0.001
Alfie Devine,Spurs,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,485.0,0.0,0.0,0.0,0.0,107.66666666666667,0.0,0.0,0.0,0.0,0.0,9.904761904761905,0.0,0.0,0.0,0.0,11.0,0.0,7546.809523809524,0.0,1.8095238095238095,1.7619047619047619,0.0,0.0,-369.3333333333333,224.57142857142858,593.9047619047619,45.0,0.0,31,0.001
Elkan Baggott,Ipswich,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,105.57142857142857,0.0,0.0,0.0,0.0,0.0,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,2211.9523809523807,0.0,1.4285714285714286,1.2857142857142858,0.0,0.0,-130.42857142857142,0.0,130.42857142857142,40.0,0.0,31,0.001
Leif Davis,Ipswich,2.0952380952380953,0.09523809523809523,0.23809523809523808,9.142857142857142,0.09523809523809523,28.071428571428573,267.0,0.17047619047619048,0.20523809523809527,0.03476190476190476,2.050952380952381,105.57142857142857,1.7619047619047619,0.047619047619047616,5.042857142857143,16.942857142857143,90.0,10.19047619047619,0.0,0.0,0.0,0.0,11.0,0.0,226509.0,1.0,1.4285714285714286,1.2857142857142858,5.428571428571429,2.2857142857142856,-17.61904761904762,15731.952380952382,15749.57142857143,45.0,0.23809523809523808,31,0.001
Virgil van Dijk,Liverpool,4.66,0.05,0.15,17.2,0.4,5.125,339.0,0.019999999999999997,0.08399999999999999,0.06399999999999999,0.9045,104.2,1.0,0.05,3.8,23.28,90.0,11.0,0.0,0.0,0.0,0.0,10.8,0.0,2002806.15,1.0,1.8,1.6,9.65,3.85,40390.05,107348.0,66957.95,62.15,0.05,31,0.001
Konstantinos Mavropanos,West Ham,1.4285714285714286,0.0,0.19047619047619047,7.666666666666667,0.09523809523809523,2.3333333333333335,528.0,0.01761904761904762,0.06190476190476191,0.04428571428571428,1.2857142857142858,107.80952380952381,1.2380952380952381,0.0,2.2333333333333334,15.257142857142856,62.142857142857146,10.142857142857142,0.0,0.0,0.0,0.0,11.0,0.0,17065.714285714286,0.6666666666666666,1.6666666666666667,1.5714285714285714,4.666666666666667,1.4761904761904763,-182.76190476190476,850.4285714285714,1033.1904761904761,44.476190476190474,0.09523809523809523,31,0.001
Matt Turner,Nott'm Forest,0.75,0.0,0.0,0.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.5,0.0,1778591.5,0.0,1.0,0.5,0.0,0.0,-12809.5,15896.5,28706.0,40.0,0.0,31,0.001
