name,team,GW,predicted_assists
Wes Burns,Ipswich,31,0.0
Welington Damascena Santos,Southampton,31,0.0
Alexis Mac Allister,Liverpool,31,0.0
Thomas Partey,Arsenal,31,0.0
Alfie Devine,Spurs,31,0.0
Roman Dixon,Everton,31,0.0
Ryan Yates,Nott'm Forest,31,0.0
Ryan Sessegnon,Fulham,31,0.0
Ryan Manning,Southampton,31,0.0
Ryan Gravenberch,Liverpool,31,0.0
Ryan Christie,Bournemouth,31,0.0
Ross Barkley,Aston Villa,31,0.0
Ronnie Edwards,Southampton,31,0.0
Roméo Lavia,Chelsea,31,0.0
Amadou Onana,Aston Villa,31,0.0
Alphonse Areola,West Ham,31,0.0
Rodrigo Bentancur,Spurs,31,0.0
Robin Olsen,Aston Villa,31,0.0
Rico Lewis,Man City,31,0.0
Rhys Williams,Liverpool,31,0.0
Andrey Nascimento dos Santos,Chelsea,31,0.0
Remy Rees-Dottin,Bournemouth,31,0.0
Antony Matheus dos Santos,Man Utd,31,0.0
Raheem Sterling,Arsenal,31,0.0
Salah-Eddine Oulad M'hand,Arsenal,31,0.0
Sam Morsy,Ipswich,31,0.0
Sékou Mara,Southampton,31,0.0
Sepp van den Berg,Brentford,31,0.0
Sven Botman,Newcastle,31,0.0
Sugawara Yukinari,Southampton,31,0.0
Steven Benda,Fulham,31,0.0
Stephy Mavididi,Leicester,31,0.0
Son Heung-min,Spurs,31,0.0
Sil Swinkels,Aston Villa,31,0.0
Shea Charles,Southampton,31,0.0
Sergio Reguilón,Spurs,31,0.0
Sean Longstaff,Newcastle,31,0.0
Samuel Amo-Ameyaw,Southampton,31,0.0
Scott McTominay,Man Utd,31,0.0
Scott Carson,Man City,31,0.0
Saša Lukić,Fulham,31,0.0
Saša Kalajdžić,Wolves,31,0.0
Santiago Bueno,Wolves,31,0.0
Sander Berge,Fulham,31,0.0
Alisson Ramses Becker,Liverpool,31,0.0
Samuel Edozie,Southampton,31,0.0
Naouirou Ahamada,Crystal Palace,31,0.0
Boubakary Soumaré,Leicester,31,0.0
Myles Lewis-Skelly,Arsenal,31,0.0
Jack Taylor,Ipswich,31,0.0
Conor Chaplin,Ipswich,31,0.0
Conor Coady,Leicester,31,0.0
James Justin,Leicester,31,0.0
James Hill,Bournemouth,31,0.0
Corrie Ndaba,Ipswich,31,0.0
Jakub Moder,Brighton,31,0.0
Jakub Kiwior,Arsenal,31,0.0
Crysencio Summerville,West Ham,31,0.0
Jahmai Simpson-Pusey,Man City,31,0.0
Jacob Ramsey,Aston Villa,31,0.0
Jack Hinshelwood,Brighton,31,0.0
Igor Thiago Nascimento Rodrigues,Brentford,31,0.0
Daniel Bentley,Wolves,31,0.0
Daniel Castelo Podence,Wolves,31,0.0
Jack Clarke,Ipswich,31,0.0
Ivan Toney,Brentford,31,0.0
Issa Diop,Fulham,31,0.0
Ismeal Kabia,Arsenal,31,0.0
Daniel Jebbison,Bournemouth,31,0.0
Imari Samuels,Brighton,31,0.0
Danilo dos Santos de Oliveira,Nott'm Forest,31,0.0
Ilkay Gündogan,Man City,31,0.0
