name,team,GW,predicted_clean_sheets
José Malheiro de Sá,Wolves,31,0.22037024427822843
Andy Irving,West Ham,31,0.22018687638360995
Jack Hinshelwood,Brighton,31,0.22017842469633514
Joel Ward,Crystal Palace,31,0.22015386452285707
Fábio Silva,Wolves,31,0.22012642589247125
Destiny Udogie,Spurs,31,0.22008434024335105
Filip Marschall,Aston Villa,31,0.22002149279176586
Leon Bailey,Aston Villa,31,0.22001669188239778
Malang Sarr,Chelsea,31,0.21993204282343357
Pierre-Emile Højbjerg,Spurs,31,0.21985253967213209
Romelu Lukaku Bolingoli,Chelsea,31,0.21975207051971518
Mathias Jorgensen,Brentford,31,0.21967599919919695
Lucas Tolentino Coelho de Lima,West Ham,31,0.2195745988433906
Joachim Andersen,Crystal Palace,31,0.2194103881951739
Amario Cozier-Duberry,Brighton,31,0.2193424958918215
Raheem Sterling,Chelsea,31,0.21898113982995077
Samuel Iling-Junior,Aston Villa,31,0.21871650493715653
Ivan Toney,Brentford,31,0.218622904988594
Djed Spence,Spurs,31,0.21857905489501714
Crysencio Summerville,West Ham,31,0.21849511204647454
Nayef Aguerd,West Ham,31,0.21849436909132586
Malo Gusto,Chelsea,31,0.21841134664380032
Pedro Porro,Spurs,31,0.2183644861088798
Kim Ji-soo,Brentford,31,0.21830326882605716
Yehor Yarmoliuk,Brentford,31,0.21812517489616687
Sam Johnstone,Crystal Palace,31,0.2179296661751261
Dane Scarlett,Spurs,31,0.21787041654031664
Deniz Undav,Brighton,31,0.2178122805538437
Eric da Silva Moreira,Nott'm Forest,31,0.21774516897307067
Tomáš Souček,West Ham,31,0.2175987392612149
Nathaniel Clyne,Crystal Palace,31,0.21740329965164956
Łukasz Fabiański,West Ham,31,0.21734797922604102
Jamaal Lascelles,Newcastle,31,0.21701069682339086
Bernd Leno,Fulham,31,0.21671737483745954
Đorđe Petrović,Chelsea,31,0.2166899218990204
Mason Mount,Man Utd,31,0.2166683479593278
Kevin Mbabu,Fulham,31,0.21649878736622394
Alfie Gilchrist,Chelsea,31,0.2162959490814596
Lucas Bergvall,Spurs,31,0.2161721587960993
Sander Berge,Fulham,31,0.2161007132996099
Luke Shaw,Man Utd,31,0.21603127129144123
Christian Eriksen,Man Utd,31,0.21588116957071046
Ethan Pinnock,Brentford,31,0.21582068050157477
Igor Julio dos Santos de Paulo,Brighton,31,0.21568561481011062
Kiernan Dewsbury-Hall,Chelsea,31,0.21552610173829467
George Earthy,West Ham,31,0.21547141743765383
Jørgen Strand Larsen,Wolves,31,0.21480120667363908
Ross Barkley,Aston Villa,31,0.21472282867755021
Andrew Omobamidele,Nott'm Forest,31,0.21466233087554198
Filip Jørgensen,Chelsea,31,0.21445706472824272
Marcus Bettinelli,Chelsea,31,0.21436765685183923
João Victor Gomes da Silva,Wolves,31,0.2143556803182513
William Osula,Newcastle,31,0.21429064224158023
Kenny Tete,Fulham,31,0.214286718138114
Valentín Barco,Brighton,31,0.2139719336884459
Levi Colwill,Chelsea,31,0.21381307348615627
Matt Targett,Newcastle,31,0.2136595165384892
Wes Okoduwa,Wolves,31,0.2134094778135907
Leny Yoro,Man Utd,31,0.21308583475860468
Fabian Schär,Newcastle,31,0.21282474090904827
Maxwel Cornet,West Ham,31,0.21275007328378565
Daniel Bentley,Wolves,31,0.21251673872493207
Anthony Elanga,Nott'm Forest,31,0.21236470800348609
Kadan Young,Aston Villa,31,0.21214711171550749
James Ward-Prowse,Nott'm Forest,31,0.21204593027994356
Ben Davies,Spurs,31,0.21188689838242292
Moisés Caicedo Corozo,Chelsea,31,0.21125317190075416
Jayce Fitzgerald,Man Utd,31,0.21121691362480002
Ezra Mayers,West Ham,31,0.21105315211558362
Elliot Anderson,Nott'm Forest,31,0.21091543219508882
Morgan Gibbs-White,Nott'm Forest,31,0.21083875769090074
Nathan Collins,Brentford,31,0.21079192176554473
Kortney Hause,Aston Villa,31,0.21075990788647414
Alfie Dorrington,Spurs,31,0.2105026195676876
Roméo Lavia,Chelsea,31,0.2104106647070214
Odsonne Edouard,Crystal Palace,31,0.21029952203884247
Billy Gilmour,Brighton,31,0.2102149789318884
Wes Foderingham,West Ham,31,0.2099644150040774
Cristian Romero,Spurs,31,0.20939918343030103
Jeremy Sarmiento Morante,Brighton,31,0.20927814474816445
Bryan Gil Salvatierra,Spurs,31,0.209219872452263
Tom Edozie,Wolves,31,0.20921534794148927
Joachim Andersen,Fulham,31,0.2091230805441161
Son Heung-min,Spurs,31,0.20911705512815254
Alejo Véliz,Spurs,31,0.20901651760311768
Tyrell Malacia,Man Utd,31,0.20892195517380283
Harvey Barnes,Newcastle,31,0.20883971804787166
Alfie Pond,Wolves,31,0.2083659084124519
Kacper Kozłowski,Brighton,31,0.20829519952292438
Santiago Bueno,Wolves,31,0.20826123087078777
Igor Thiago Nascimento Rodrigues,Brentford,31,0.2082047300396638
Kaine Kesler-Hayden,Aston Villa,31,0.2081738944070849
Emil Krafth,Newcastle,31,0.20799688098818458
Chris Wood,Nott'm Forest,31,0.20798583679976423
João Pedro Ferreira Silva,Nott'm Forest,31,0.20798372044011057
Jesurun Rak-Sakyi,Crystal Palace,31,0.20793292412404227
Jean-Ricner Bellegarde,Wolves,31,0.20786649110829333
Jamal Lewis,Newcastle,31,0.2078447812400419
Franco Umeh-Chibueze,Crystal Palace,31,0.20779635290735549
Harry Amass,Man Utd,31,0.20775602221619316
Josh Dasilva,Brentford,31,0.20752154041170673
Jhon Durán,Aston Villa,31,0.20744816440885014
Boubacar Traoré,Wolves,31,0.20744530523162674
Andrey Nascimento dos Santos,Chelsea,31,0.20733647503416278
Guglielmo Vicario,Spurs,31,0.2068946060464002
Sergio Reguilón,Spurs,31,0.20685822829489142
Caleb Kporha,Crystal Palace,31,0.20685398387768683
Oliver Skipp,Spurs,31,0.20683942929648685
James Ward-Prowse,West Ham,31,0.20659671411696692
Odeluga Offiah,Brighton,31,0.20659551055349804
Matt Doherty,Wolves,31,0.20633524821278956
Brajan Gruda,Brighton,31,0.2060845303655107
Jamaldeen Jimoh,Aston Villa,31,0.20602738545948882
Lino da Cruz Sousa,Aston Villa,31,0.20600661869526377
Konstantinos Mavropanos,West Ham,31,0.20596618818555426
Alfie Devine,Spurs,31,0.20595174010488224
Jorge Cuenca Barreno,Fulham,31,0.2058702950448572
Armando Broja,Chelsea,31,0.20574534610914288
Omari Kellyman,Chelsea,31,0.20541126355787023
Kepa Arrizabalaga,Chelsea,31,0.20525640068245304
Jordan Ayew,Crystal Palace,31,0.2051100589464879
João Félix Sequeira,Chelsea,31,0.20505799854813733
Alphonse Areola,West Ham,31,0.2049551330457919
Ki-Jana Hoever,Wolves,31,0.20477106872394407
Josh King,Fulham,31,0.20455982261083222
Jonny Evans,Man Utd,31,0.2044060505038301
Nicolás Domínguez,Nott'm Forest,31,0.20439987899082082
Malachi Hardy,Spurs,31,0.20425428451078856
Kosta Nedeljković,Aston Villa,31,0.20398087641075865
Lamare Bogarde,Aston Villa,31,0.20397550810570633
Adama Traoré,Fulham,31,0.20378990667540392
Taiwo Awoniyi,Nott'm Forest,31,0.20373787943146895
Emile Smith Rowe,Fulham,31,0.20280081599317343
Paris Maghoma,Brentford,31,0.20278377619996152
Danny Welbeck,Brighton,31,0.20271941060323673
Omar Richards,Nott'm Forest,31,0.2026924080270051
Oliwier Zych,Aston Villa,31,0.20262294288977714
Matheus Santos Carneiro Da Cunha,Wolves,31,0.20228517528898468
Yunus Emre Konak,Brentford,31,0.20226010990651294
Jadon Sancho,Chelsea,31,0.20213193659622086
Álex Moreno Lopera,Aston Villa,31,0.20208538584402447
Diego Gómez,Brighton,31,0.20208033117580082
Ryan Yates,Nott'm Forest,31,0.20199140905679172
Hugo Bueno López,Wolves,31,0.2019756872882348
Michail Antonio,West Ham,31,0.20180624624037383
Jadon Sancho,Man Utd,31,0.20176417868911933
Alfie Whiteman,Spurs,31,0.20174133318988258
Lewis Orford,West Ham,31,0.2013844105269207
Yves Bissouma,Spurs,31,0.20106651562496664
Noni Madueke,Chelsea,31,0.2008014944050169
Tom Heaton,Man Utd,31,0.20055102185564708
Mathias Jensen,Brentford,31,0.20049479277731652
Mark Flekken,Brentford,31,0.20041984041146207
Lisandro Martínez,Man Utd,31,0.2002099851026793
Isaac Hayden,Newcastle,31,0.20002101890837415
Carl Rushworth,Brighton,31,0.1999351566463336
Antony Matheus dos Santos,Man Utd,31,0.19937341075188414
Mohammed Kudus,West Ham,31,0.19913625321431402
Kaden Rodney,Crystal Palace,31,0.19912189481058515
Maeson King,Spurs,31,0.1988914909654043
Willy Boly,Nott'm Forest,31,0.19886279033761126
Hwang Ui-jo,Nott'm Forest,31,0.19881621878914474
Imari Samuels,Brighton,31,0.19880789761406922
Callum Olusesi,Spurs,31,0.19868587473968216
Callum Wilson,Newcastle,31,0.1986676103807103
Killian Cahill,Brighton,31,0.1985398999988206
Harry Maguire,Man Utd,31,0.19784743082713468
Chadi Riad Dnanou,Crystal Palace,31,0.19784319991445323
Cameron Peupion,Brighton,31,0.19767038000039228
Edson Álvarez Velázquez,West Ham,31,0.19727663563461256
Jefferson Lerma Solís,Crystal Palace,31,0.19724132641934083
Facundo Pellistri Rebollo,Man Utd,31,0.19721417967356744
Álex Moreno Lopera,Nott'm Forest,31,0.19716440664981305
Alex Murphy,Newcastle,31,0.1967567170008842
Kurt Zouma,West Ham,31,0.1966927475541557
Moussa Diaby,Aston Villa,31,0.19656474157819584
Sam Johnstone,Wolves,31,0.19652239957144274
Samuel Amissah,Fulham,31,0.1964127296602268
Emerson Palmieri dos Santos,West Ham,31,0.19596908755880438
Saša Kalajdžić,Wolves,31,0.1959506487107644
Tommy Doyle,Wolves,31,0.19585779723228233
Ben Mee,Brentford,31,0.19560679365256126
Jacob Slater,Brighton,31,0.19540568070998263
Victor Lindelöf,Man Utd,31,0.19536203503236718
Ibrahim Sangaré,Nott'm Forest,31,0.19532801700830416
Danilo dos Santos de Oliveira,Nott'm Forest,31,0.1950587000989675
Julio Enciso,Brighton,31,0.19496946922062136
Mahmoud Dahoud,Brighton,31,0.19470915886132495
Radu Drăgușin,Spurs,31,0.1946519738214072
Ben Broggio,Aston Villa,31,0.19444060642057878
Ollie Scarles,West Ham,31,0.19437339751048494
Conor Gallagher,Chelsea,31,0.1943206645713975
Diogo Dalot Teixeira,Man Utd,31,0.19430931154375825
Antonín Kinsky,Spurs,31,0.19421128344847927
Joshua Zirkzee,Man Utd,31,0.19401100895800244
Hwang Hee-chan,Wolves,31,0.19385505682115264
Axel Disasi,Chelsea,31,0.19347084926729288
Gonçalo Manuel Ganchinho Guedes,Wolves,31,0.19345551856899398
Alejandro Garnacho,Man Utd,31,0.1933744205214355
Harry Toffolo,Nott'm Forest,31,0.19315681576926888
Toby Collyer,Man Utd,31,0.19300218312007533
Ryan Fraser,Newcastle,31,0.19287288848555614
Carney Chukwuemeka,Chelsea,31,0.1928719682399994
Toti António Gomes,Wolves,31,0.19286348248755866
Enzo Barrenechea,Aston Villa,31,0.19283741581177963
Joe Hodge,Wolves,31,0.19281142256235365
Yoane Wissa,Brentford,31,0.19278922894422368
Matt Turner,Crystal Palace,31,0.1927750098317229
Luke Cundle,Wolves,31,0.19270976678944704
Pascal Groß,Brighton,31,0.19255134678211827
Hannibal Mejbri,Man Utd,31,0.19252920467564602
Lloyd Kelly,Newcastle,31,0.19246630384276553
Mario Lemina,Wolves,31,0.19239462610764269
Pau Torres,Aston Villa,31,0.19220989430277619
Luke Harris,Fulham,31,0.19215254235824406
Christopher Nkunku,Chelsea,31,0.19213149556854356
Tariq Lamptey,Brighton,31,0.19188733619251366
Garang Kuol,Newcastle,31,0.19176633308152263
Scott McTominay,Man Utd,31,0.19141400909552173
John Ruddy,Newcastle,31,0.19115264237755977
Timothy Castagne,Fulham,31,0.19102666965460657
Jason Steele,Brighton,31,0.19091613613817268
Carlos Vinícius Alves Morais,Fulham,31,0.19076592123239247
Ryan Sessegnon,Fulham,31,0.19061692054850246
Steven Benda,Fulham,31,0.19057912899178234
Alex Iwobi,Fulham,31,0.19026731941486785
Benicio Baker-Boaitey,Brighton,31,0.18990222347319935
Tosin Adarabioyo,Chelsea,31,0.18960391697691428
Bastien Meupiyou,Wolves,31,0.18938799060601053
Nathan Fraser,Wolves,31,0.18932719711494472
Noussair Mazraoui,Man Utd,31,0.18922520812820157
Craig Dawson,Wolves,31,0.1891231226964974
