name,team,position,GW,predicted_goals,minutes,raw_predicted_goals,blended_prediction,min_probability
Carlos Soler,West Ham,MID,31,0.09,43.888888888888886,0.0029924242424242426,0.028220885831591238,0.08777777777777776
Jhon Durán,Aston Villa,FWD,31,0.09,28.0,0.047253885003885,0.08540671202819089,0.09333333333333334
Manuel Ugarte,Man Utd,MID,31,0.09,47.166666666666664,0.0,0.026724673710379118,0.09433333333333332
Sam Szmodics,Ipswich,MID,31,0.09,46.42857142857143,0.011178987678987678,0.03231416754987296,0.09285714285714286
Kevin Schade,Brentford,MID,31,0.09,45.523809523809526,0.05920881202131203,0.05632907972103513,0.09104761904761906
Adama Traoré,Fulham,MID,31,0.09,45.476190476190474,0.012900523088023088,0.033174935254390664,0.09095238095238095
Bilal El Khannouss,Leicester,MID,31,0.09,45.31578947368421,0.0,0.026724673710379118,0.09063157894736842
Nicolás Domínguez,Nott'm Forest,MID,31,0.09,45.904761904761905,0.0050757575757575755,0.029262552498257904,0.09180952380952381
Jack Hinshelwood,Brighton,MID,31,0.08,39.95238095238095,0.0,0.026724673710379118,0.0799047619047619
Carlos Henrique Casimiro,Man Utd,MID,31,0.08,39.666666666666664,0.004351190476190476,0.028900268948474354,0.07933333333333333
Jean-Ricner Bellegarde,Wolves,MID,31,0.08,39.142857142857146,0.0,0.026724673710379118,0.07828571428571428
Jacob Ramsey,Aston Villa,MID,31,0.08,37.95238095238095,0.0,0.026724673710379118,0.0759047619047619
Crysencio Summerville,West Ham,MID,31,0.07,36.95238095238095,0.001,0.027224673710379118,0.07390476190476189
Diogo Teixeira da Silva,Liverpool,MID,31,0.07,31.1,0.08567846042846043,0.06956390392460933,0.0622
Daichi Kamada,Crystal Palace,MID,31,0.07,36.523809523809526,0.0,0.026724673710379118,0.07304761904761906
Mikel Merino,Arsenal,MID,31,0.07,34.89473684210526,0.01248369196163314,0.032966519691195684,0.06978947368421051
Harvey Barnes,Newcastle,MID,31,0.07,36.80952380952381,0.04071590909090909,0.04708262825583366,0.07361904761904763
Oliver Skipp,Leicester,MID,31,0.07,36.4,0.0,0.026724673710379118,0.0728
Boubacar Kamara,Aston Villa,MID,31,0.07,36.333333333333336,0.0,0.026724673710379118,0.07266666666666667
Jérémy Doku,Man City,MID,31,0.07,32.95238095238095,0.00778409090909091,0.03061671916492457,0.0659047619047619
Norberto Bercique Gomes Betuncal,Everton,FWD,31,0.07,11.35,0.009692009379509378,0.06662577421600309,0.04000000000000001
Sean Longstaff,Newcastle,MID,31,0.07,33.857142857142854,0.0,0.026724673710379118,0.06771428571428571
Harry Wilson,Fulham,MID,31,0.07,32.714285714285715,0.016759920634920634,0.035104634027839435,0.06542857142857143
Jesper Lindstrøm,Everton,MID,31,0.07,33.0,0.0003333333333333333,0.026891340377045783,0.066
Archie Gray,Spurs,MID,31,0.07,33.0,0.0,0.026724673710379118,0.066
Kalvin Phillips,Ipswich,MID,31,0.07,36.523809523809526,0.0,0.026724673710379118,0.07304761904761906
Danny Ings,West Ham,FWD,31,0.07,9.619047619047619,0.01624825174825175,0.06990389540037427,0.04000000000000001
Rodrigo Bentancur,Spurs,MID,31,0.07,32.61904761904762,0.0,0.026724673710379118,0.06523809523809525
Matthijs de Ligt,Man Utd,DEF,31,0.06,66.19047619047619,0.008045014398583055,0.011372315465162854,0.06
Nathan Fraser,Wolves,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Tom Cannon,Leicester,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Lucas Digne,Aston Villa,DEF,31,0.06,75.71428571428571,0.0001939487975174554,0.007446782664630053,0.06
Antonee Robinson,Fulham,DEF,31,0.06,90.0,0.005473891077459736,0.010086753804601193,0.06
Lewis Hall,Newcastle,DEF,31,0.06,79.85714285714286,0.0001939487975174554,0.007446782664630053,0.06
Marc Guiu Paz,Chelsea,FWD,31,0.06,1.5714285714285714,0.0,0.0617797695262484,0.04000000000000001
Dane Scarlett,Spurs,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Marc Cucurella Saseta,Chelsea,DEF,31,0.06,73.0952380952381,0.0021442207477894056,0.008421918639766029,0.06
Nathan Butler-Oyedeji,Arsenal,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Gonçalo Manuel Ganchinho Guedes,Wolves,MID,31,0.06,28.19047619047619,0.001,0.027224673710379118,0.05638095238095238
Daniel Adu-Adjei,Bournemouth,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Calvin Bassey,Fulham,DEF,31,0.06,85.71428571428571,0.0020121306156992737,0.008355873573720963,0.06
Jan Bednarek,Southampton,DEF,31,0.06,72.0,0.0001939487975174554,0.007446782664630053,0.06
Eddie Nketiah,Arsenal,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Maxence Lacroix,Crystal Palace,DEF,31,0.06,90.0,0.0009471539257225835,0.007823385228732617,0.06
Wout Faes,Leicester,DEF,31,0.06,65.33333333333333,0.0001939487975174554,0.007446782664630053,0.06
Lisandro Martínez,Man Utd,DEF,31,0.06,75.23809523809524,0.0011939487975174553,0.007946782664630054,0.06
Rayan Aït-Nouri,Wolves,DEF,31,0.06,82.14285714285714,0.006705113071839625,0.010702364801791138,0.06
James Justin,Leicester,DEF,31,0.06,82.0,0.0011939487975174553,0.007946782664630054,0.06
Trevoh Chalobah,Crystal Palace,DEF,31,0.06,58.888888888888886,0.003333333333333333,0.009016474932537991,0.05888888888888888
Taylor Harwood-Bellis,Southampton,DEF,31,0.06,79.47619047619048,0.0001939487975174554,0.007446782664630053,0.06
Joël Veltman,Brighton,DEF,31,0.06,61.38095238095238,0.0,0.007349808265871325,0.06
Adam Wharton,Crystal Palace,MID,31,0.06,29.571428571428573,0.0,0.026724673710379118,0.05914285714285714
James Tarkowski,Everton,DEF,31,0.06,89.55,0.0008189487975174553,0.0077592826646300525,0.06
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,31,0.06,84.61904761904762,0.003051091654660312,0.008875354093201481,0.06
Rico Lewis,Man City,DEF,31,0.06,65.80952380952381,0.0001939487975174554,0.007446782664630053,0.06
Callum Wilson,Newcastle,FWD,31,0.06,2.7142857142857144,0.0,0.0617797695262484,0.04000000000000001
Trent Alexander-Arnold,Liverpool,DEF,31,0.06,74.2,0.007202712093045458,0.010951164312394054,0.06
Jurriën Timber,Arsenal,DEF,31,0.06,70.71428571428571,0.0016225202260888839,0.008161068378915767,0.06
Jan Paul van Hecke,Brighton,DEF,31,0.06,76.66666666666667,0.0001939487975174554,0.007446782664630053,0.06
Toti António Gomes,Wolves,DEF,31,0.06,60.142857142857146,0.0,0.007349808265871325,0.06
Saša Kalajdžić,Wolves,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Leon Chiwome,Wolves,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Deivid Washington de Souza Eugênio,Chelsea,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Lewis Dunk,Brighton,DEF,31,0.06,61.42857142857143,0.0,0.007349808265871325,0.06
Levi Colwill,Chelsea,DEF,31,0.06,85.71428571428571,0.0001939487975174554,0.007446782664630053,0.06
William Osula,Newcastle,FWD,31,0.06,1.9047619047619047,0.0,0.0617797695262484,0.04000000000000001
Sékou Mara,Southampton,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Divin Mubama,Man City,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Milos Kerkez,Bournemouth,DEF,31,0.06,86.52380952380952,0.0005510916546603125,0.007625354093201481,0.06
Ross Stewart,Southampton,FWD,31,0.06,6.190476190476191,0.0,0.0617797695262484,0.04000000000000001
Alejo Véliz,Spurs,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
Illia Zabarnyi,Bournemouth,DEF,31,0.06,90.0,0.0001939487975174554,0.007446782664630053,0.06
Kenny Tete,Fulham,DEF,31,0.06,60.095238095238095,0.0,0.007349808265871325,0.06
Conor Chaplin,Ipswich,MID,31,0.06,28.80952380952381,0.0029924242424242426,0.028220885831591238,0.05761904761904762
Andrew Robertson,Liverpool,DEF,31,0.06,72.15,0.0007495043530730108,0.007724560442407831,0.06
Jayden Danns,Liverpool,FWD,31,0.06,0.0,0.0,0.0617797695262484,0.04000000000000001
