name,team,minutes,xP,threat,bps,transfers_in,expected_goals,GW,predicted_goals
Joe Gauci,Aston Villa,0.0,-0.047619047619047616,0.0,0.0,2978.809523809524,0.0,23,0.001
Martin Dúbravka,Newcastle,36.0,1.416,0.0,6.4,65689.36,0.0,23,0.001
Flynn Downes,Southampton,65.16666666666667,0.8583333333333334,4.333333333333333,9.25,826.625,0.024999999999999998,23,0.001
Alejandro Garnacho,Man Utd,58.34375,2.484375,15.9375,9.5625,222475.90625,0.195,23,0.001
Ronnie Edwards,Southampton,0.5714285714285714,-0.5619047619047619,0.0,-0.047619047619047616,1956.3809523809523,0.0,23,0.001
Edson Álvarez Velázquez,West Ham,56.275862068965516,0.8068965517241379,1.1379310344827587,7.206896551724138,4278.586206896552,0.010689655172413793,23,0.001
Jack Grealish,Man City,27.26923076923077,1.830769230769231,7.730769230769231,7.076923076923077,6462.923076923077,0.043461538461538454,23,0.001
Carlos Miguel dos Santos Pereira,Nott'm Forest,0.0,-0.06190476190476189,0.0,0.0,557.8571428571429,0.0,23,0.001
Ashley Phillips,Spurs,0.0,0.07142857142857142,0.0,0.0,398.14285714285717,0.0,23,0.001
João Pedro Ferreira Silva,Nott'm Forest,28.964285714285715,1.4785714285714284,3.607142857142857,7.214285714285714,4241.25,0.0667857142857143,23,0.001
Endo Wataru,Liverpool,5.107142857142857,1.3928571428571428,0.14285714285714285,1.8928571428571428,4819.428571428572,0.0,23,0.001
Facundo Pellistri Rebollo,Man Utd,0.0,0.0761904761904762,0.0,0.0,2.9047619047619047,0.0,23,0.001
Jaden Philogene,Aston Villa,15.476190476190476,0.3952380952380953,2.142857142857143,0.8571428571428571,180.14285714285714,0.021904761904761906,23,0.001
Mario Lemina,Wolves,64.9047619047619,2.276190476190476,5.714285714285714,12.0,5021.952380952381,0.06190476190476191,23,0.001
Adam Wharton,Crystal Palace,37.266666666666666,0.9766666666666667,1.7666666666666666,6.766666666666667,5442.033333333334,0.008333333333333333,23,0.001
Luis Sinisterra,Bournemouth,9.16,0.8759999999999999,7.08,3.6,4769.2,0.0472,23,0.001
Michael Keane,Everton,38.666666666666664,1.4333333333333333,4.0,4.142857142857143,91403.33333333333,0.020476190476190478,23,0.001
Omar Richards,Nott'm Forest,0.0,0.09047619047619047,0.0,0.0,1.5714285714285714,0.0,23,0.001
Álex Moreno Lopera,Aston Villa,0.0,1.9,0.0,0.0,0.0,0.0,23,0.001
Stephy Mavididi,Leicester,50.733333333333334,1.5833333333333333,7.666666666666667,8.733333333333333,15948.433333333332,0.06166666666666667,23,0.001
Diego Carlos Santos Silva,Aston Villa,39.42857142857143,0.8,2.5714285714285716,3.2857142857142856,2423.8571428571427,0.030476190476190476,23,0.001
Josh King,Fulham,3.5454545454545454,0.11363636363636363,1.0909090909090908,1.1363636363636365,1103.6818181818182,0.009090909090909092,23,0.001
Joshua Zirkzee,Man Utd,43.28125,1.8625,7.1875,6.75,78425.09375,0.145,23,0.001
Wanya Marçal-Madivádua,Leicester,0.0,0.0,0.0,0.0,35.904761904761905,0.0,23,0.001
Jamal Lewis,Newcastle,0.0,0.14285714285714285,0.0,0.0,547.2857142857143,0.0,23,0.001
Jack Harrison,Everton,58.03333333333333,1.9733333333333334,4.866666666666666,8.333333333333334,6473.933333333333,0.111,23,0.001
Riccardo Calafiori,Arsenal,33.69230769230769,1.9807692307692308,4.730769230769231,5.153846153846154,35682.653846153844,0.02923076923076923,23,0.001
