name,team,position,opponent_name,was_home,fixture_difficulty,predicted_assists
Will Hughes,Crystal Palace,MID,Liverpool,False,-4.55,0.01
Leon Bailey,Aston Villa,MID,Man Utd,False,1.5,0.01
Alphonse Areola,West Ham,GK,Ipswich,False,0.25,0.01
Carlos Soler,West Ham,MID,Ipswich,False,0.25,0.01
Manuel Ugarte,Man Utd,MID,Aston Villa,True,-2.5,0.01
Orel Mangala,Everton,MID,Newcastle,False,-1.8,0.01
Craig Dawson,Wolves,DEF,Brentford,True,-3.4,0.01
Trevoh Chalobah,Crystal Palace,DEF,Liverpool,False,-4.55,0.01
André Trindade da Costa Neto,Wolves,MID,Brentford,True,-3.4,0.01
Dara O'Shea,Ipswich,DEF,West Ham,True,-0.75,0.01
Bilal El Khannouss,Leicester,MID,Bournemouth,False,-2.9,0.01
Aaron Ramsdale,Southampton,GK,Arsenal,True,-5.3,0.01
Kepa Arrizabalaga,Bournemouth,GK,Leicester,True,1.5,0.01
Sander Berge,Fulham,MID,Man City,True,-3.0,0.01
Jefferson Lerma Solís,Crystal Palace,MID,Liverpool,False,-4.55,0.01
Diego Gómez,Brighton,MID,Spurs,False,-0.7,0.01
Adam Smith,Bournemouth,DEF,Leicester,True,1.5,0.01
Jens Cajuste,Ipswich,MID,West Ham,True,-0.75,0.01
Álex Moreno Lopera,Nott'm Forest,DEF,Chelsea,True,-1.6,0.01
Sepp van den Berg,Brentford,DEF,Wolves,False,0.6,0.01
Lesley Ugochukwu,Southampton,MID,Arsenal,True,-5.3,0.01
Joachim Andersen,Fulham,DEF,Man City,True,-3.0,0.01
Jordan Ayew,Leicester,MID,Bournemouth,False,-2.9,0.01
Ashley Young,Everton,DEF,Newcastle,False,-1.8,0.01
Rasmus Højlund,Man Utd,FWD,Aston Villa,True,-2.5,0.01
Kobbie Mainoo,Man Utd,MID,Aston Villa,True,-2.5,0.01
Boubacar Kamara,Aston Villa,MID,Man Utd,False,1.5,0.01
Crysencio Summerville,West Ham,MID,Ipswich,False,0.25,0.01
Saša Lukić,Fulham,MID,Man City,True,-3.0,0.01
Sandro Tonali,Newcastle,MID,Everton,True,1.1,0.01
Flynn Downes,Southampton,MID,Arsenal,True,-5.3,0.01
Emiliano Martínez Romero,Aston Villa,GK,Man Utd,False,1.5,0.01
Djed Spence,Spurs,DEF,Brighton,True,-0.7,0.01
Jordan Pickford,Everton,GK,Newcastle,False,-1.8,0.01
Pape Matar Sarr,Spurs,MID,Brighton,True,-0.7,0.01
Riccardo Calafiori,Arsenal,DEF,Southampton,False,5.9,0.01
Jack Harrison,Everton,MID,Newcastle,False,-1.8,0.01
Jarrad Branthwaite,Everton,DEF,Newcastle,False,-1.8,0.01
Vladimír Coufal,West Ham,DEF,Ipswich,False,0.25,0.01
David Raya Martin,Arsenal,GK,Southampton,False,5.9,0.01
Jurriën Timber,Arsenal,DEF,Southampton,False,5.9,0.01
Mads Roerslev Rasmussen,Brentford,DEF,Wolves,False,0.6,0.01
Harry Winks,Leicester,MID,Bournemouth,False,-2.9,0.01
Robert Sánchez,Chelsea,GK,Nott'm Forest,False,0.0,0.01
Christopher Nkunku,Chelsea,MID,Nott'm Forest,False,0.0,0.01
Edson Álvarez Velázquez,West Ham,MID,Ipswich,False,0.25,0.01
Manuel Akanji,Man City,DEF,Fulham,False,1.0,0.01
