name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Malo Gusto,Chelsea,DEF,38,Nott'm Forest,False,0.0,0.06,0.0007142857142857143,0.0007142857142857143,0.007058756571831057,0.05709677419354838,16,1150,1190
Nélson Cabral Semedo,Wolves,DEF,38,Brentford,True,-3.4,0.06,0.0,0.0,0.006594470857545343,0.06,4,1070,1310
Victor Kristiansen,Leicester,DEF,38,Bournemouth,False,-2.9,0.06,0.0007142857142857143,0.0,0.006594470857545343,0.06,3,1080,1260
Destiny Udogie,Spurs,DEF,38,Brighton,True,-0.7,0.06,0.0,0.0,0.006594470857545343,0.06,5,1090,1160
Lisandro Martínez,Man Utd,DEF,38,Aston Villa,True,-2.5,0.06,0.005246212121212121,0.0,0.006594470857545343,0.06,2,1120,1270
Neco Williams,Nott'm Forest,DEF,38,Chelsea,True,-1.6,0.06,0.006460497835497835,0.0,0.006594470857545343,0.06,6,1200,1320
Kyle Walker-Peters,Southampton,DEF,38,Arsenal,True,-5.3,0.06,0.0,0.0,0.006594470857545343,0.06,1,1050,1300
Patrick Dorgu,Man Utd,DEF,38,Aston Villa,True,-2.5,0.06,0.009352420455361632,0.0,0.006594470857545343,0.06,2,1120,1270
Calvin Bassey,Fulham,DEF,38,Man City,True,-3.0,0.06,0.0023214285714285715,0.0,0.006594470857545343,0.06,13,1150,1350
Kevin Danso,Spurs,DEF,38,Brighton,True,-0.7,0.06,0.020698412698412695,0.0,0.006594470857545343,0.06,5,1090,1160
Emerson Palmieri dos Santos,West Ham,DEF,38,Ipswich,False,0.25,0.06,0.00475,0.029750000000000023,0.025931970857545356,0.06,10,1080,1080
Max Kilman,West Ham,DEF,38,Ipswich,False,0.25,0.06,0.0021830065359477123,0.027183006535947733,0.024263425105911368,0.06,10,1080,1080
Ethan Pinnock,Brentford,DEF,38,Wolves,False,0.6,0.06,0.00125,0.06124999999999994,0.04640697085754531,0.06,20,1080,1120
Tyrick Mitchell,Crystal Palace,DEF,38,Liverpool,False,-4.55,0.06,0.001324786324786325,0.0,0.006594470857545343,0.06,12,1140,1370
