name,team,position,GW,opponent_name,was_home,fixture_difficulty,predicted_goals,raw_predicted_goals,fixture_adjusted_goals,blended_prediction,min_probability,opponent_team,team_attacking,opp_defending
Declan Rice,Arsenal,MID,36,Liverpool,False,-0.2,0.12,0.04401250138750139,0.02401250138750137,0.038364217398643666,0.12,12,1370,1370
Vitaly Janelt,Brentford,MID,36,Ipswich,False,1.2,0.12,0.0,0.12,0.10075609149676779,0.12,10,1080,1080
Christian Nørgaard,Brentford,MID,36,Ipswich,False,1.2,0.12,0.011728354978354978,0.13172835497835497,0.1083795222326985,0.12,10,1080,1080
Idrissa Gueye,Everton,MID,36,Fulham,False,-0.35,0.12,0.0,0.0,0.02275609149676778,0.12,9,1140,1150
Alexis Mac Allister,Liverpool,MID,36,Arsenal,True,0.6,0.12,0.00658982683982684,0.06658982683982678,0.06603947894265519,0.12,1,1340,1300
Keane Lewis-Potter,Brentford,MID,36,Ipswich,False,1.2,0.12,0.0018181818181818182,0.12181818181818181,0.10193790967858596,0.12,10,1080,1080
Lucas Tolentino Coelho de Lima,West Ham,MID,36,Man Utd,False,-0.45,0.12,0.009683608058608057,0.0,0.02275609149676778,0.12,14,1080,1110
Emile Smith Rowe,Fulham,MID,36,Everton,True,0.75,0.12,0.011789682539682543,0.0867896825396825,0.0791693851475614,0.12,8,1150,1100
Omari Giraud-Hutchinson,Ipswich,MID,36,Brentford,True,-3.6,0.12,0.012163600288600286,0.0,0.02275609149676778,0.12,4,1070,1310
Morgan Rogers,Aston Villa,MID,36,Bournemouth,False,-0.8,0.12,0.07339044600773674,0.0,0.02275609149676778,0.12,3,1160,1260
Dominik Szoboszlai,Liverpool,MID,36,Arsenal,True,0.6,0.12,0.08308376177126175,0.1430837617712617,0.11576053664808789,0.12,1,1340,1300
Joe Aribo,Southampton,MID,36,Man City,True,-4.95,0.12,0.004549297924297924,0.0,0.02275609149676778,0.12,13,1050,1350
Eberechi Eze,Crystal Palace,MID,36,Spurs,False,-0.9,0.12,0.08061712782265384,0.0,0.02275609149676778,0.12,18,1140,1210
Jack Harrison,Everton,MID,36,Fulham,False,-0.35,0.12,0.005867424242424242,0.0,0.02275609149676778,0.11606666666666667,9,1140,1150
Ryan Gravenberch,Liverpool,MID,36,Arsenal,True,0.6,0.12,0.002,0.061999999999999944,0.06305609149676775,0.12,1,1340,1300
João Victor Gomes da Silva,Wolves,MID,36,Brighton,True,-1.45,0.12,0.0,0.0,0.02275609149676778,0.12,5,1070,1160
Anthony Gordon,Newcastle,MID,36,Chelsea,True,-2.2,0.12,0.17139895220741944,0.0,0.02275609149676778,0.12,6,1140,1320
Alex Iwobi,Fulham,MID,36,Everton,True,0.75,0.12,0.04357989289126258,0.11857989289126253,0.09983302187608842,0.12,8,1150,1100
Norberto Bercique Gomes Betuncal,Everton,FWD,36,Fulham,False,-0.35,0.12,0.019730252386502382,0.0,0.05360526315789473,0.11698924731182794,9,1140,1150
